Date,Time,Category,Transaction,Total Sum
15.04.2022,21:01,Перекази,-100,11 312.22
12.04.2022,4:30,Інше,-31,11 412.22
05.04.2022,13:33,Інше,2100,11 443.22
28.03.2022,15:20,Інше,6104.16,9 343.22
27.03.2022,0:56,Побутова техніка,-29.29,3 239.06
24.03.2022,12:50,Перекази,-40,3 268.35
23.03.2022,16:40,Продукти,-74.5,3 308.35
23.03.2022,13:08,Перекази,-1500,3 382.85
21.03.2022,11:31,Продукти,-77,4 882.85
12.03.2022,14:03,Продукти,-61.6,4 959.85
12.03.2022,13:38,Продукти,-538.74,5 021.45
12.03.2022,13:00,Продукти,-59,5 560.19
12.03.2022,12:32,Здоров'я та краса,-539,5 619.19
12.03.2022,2:26,Інше,-31,6 158.19
08.03.2022,17:00,Ресторани та бари,-88,6 189.19
07.03.2022,13:30,Продукти,-175.97,6 277.19
07.03.2022,13:02,Продукти,-115.86,6 453.16
05.03.2022,14:48,Продукти,-271.7,6 569.02
04.03.2022,14:50,Продукти,-114.02,6 840.72
04.03.2022,14:28,Продукти,-127.23,6 954.74
04.03.2022,14:23,Продукти,-24.99,7 081.97
04.03.2022,13:09,Продукти,-262.56,7 106.96
03.03.2022,15:44,Інше,2100,7 369.52
03.03.2022,13:05,Продукти,-301.13,5 269.52
03.03.2022,10:43,Продукти,-147.66,5 570.65
02.03.2022,12:43,Продукти,-570.17,5 718.31
24.02.2022,12:08,Інше,5232.5,6 288.48
22.02.2022,13:35,Розваги,-440,1 055.98
21.02.2022,18:40,Перекази,-89.46,1 495.98
21.02.2022,13:05,Перекази,-165,1 585.44
21.02.2022,13:02,Перекази,-475,1 750.44
21.02.2022,12:58,Перекази,-1005,2 225.44
21.02.2022,12:56,Перекази,-1356.75,3 230.44
21.02.2022,12:53,Перекази,4000,4 587.19
16.02.2022,16:11,Продукти,-202.64,587.19
16.02.2022,16:04,Ресторани та бари,-178.02,789.83
16.02.2022,12:19,Платежі,-1901,967.85
16.02.2022,10:53,Продукти,-70.99,2 868.85
16.02.2022,10:47,Подорожі,-133.82,2 939.84
15.02.2022,21:02,Перекази,-555,3 073.66
15.02.2022,21:00,Подорожі,-133.82,3 628.66
15.02.2022,19:14,Продукти,-115.8,3 762.48
15.02.2022,19:05,Продукти,-77.86,3 878.28
15.02.2022,18:44,Ресторани та бари,-135,3 956.14
15.02.2022,16:02,Подорожі,-298.54,4 091.14
15.02.2022,15:58,Подорожі,-225,4 389.68
14.02.2022,20:45,Зняття готівки,-200,4 614.68
14.02.2022,20:44,Зняття готівки,-200,4 814.68
14.02.2022,18:57,Інше,1192.01,5 014.68
14.02.2022,17:25,Розваги,-20,3 822.67
14.02.2022,17:23,Розваги,-50,3 842.67
14.02.2022,17:21,Перекази,1400,3 892.67
14.02.2022,13:06,Перекази,-305,2 492.67
14.02.2022,9:46,Зняття готівки,-331.17,2 797.67
13.02.2022,15:46,Перекази,-1206,3 128.84
13.02.2022,12:44,Перекази,1990,4 334.84
13.02.2022,12:21,Перекази,-330,2 344.84
12.02.2022,22:18,Ресторани та бари,-105.52,2 674.84
12.02.2022,22:07,Розваги,-131.49,2 780.36
12.02.2022,9:10,Інше,-96.14,2 911.85
12.02.2022,9:00,Здоров'я та краса,-111.25,3 007.99
12.02.2022,4:37,Інше,-31,3 119.24
11.02.2022,21:51,Розваги,-130.23,3 150.24
11.02.2022,17:50,Розваги,-361.74,3 280.47
11.02.2022,12:35,Ресторани та бари,-160.77,3 642.21
10.02.2022,18:49,Продукти,-118.13,3 802.98
10.02.2022,11:15,Перекази,-120,3 921.11
10.02.2022,9:40,Подорожі,-3374,4 041.11
07.02.2022,16:50,Інше,1934,7 415.11
