,activity,datetime
1,Sleep,12/14/2019 5:00
2,Sleep,12/14/2019 5:20
3,Sleep,12/14/2019 5:40
4,Sleep,12/14/2019 6:00
5,Sleep,12/14/2019 6:20
6,Sleep,12/14/2019 6:40
7,Sleep,12/14/2019 7:00
8,Sleep,12/14/2019 7:20
9,Sleep,12/14/2019 7:40
10,Misc,12/14/2019 8:00
11,Misc,12/14/2019 8:20
12,Food,12/14/2019 8:40
13,Food,12/14/2019 9:00
14,Study,12/14/2019 9:20
15,Waste,12/14/2019 9:40
16,Waste,12/14/2019 10:00
17,Waste,12/14/2019 10:20
18,Misc,12/14/2019 10:40
19,Misc,12/14/2019 11:00
20,Misc,12/14/2019 11:20
21,Misc,12/14/2019 11:40
22,Transportation,12/14/2019 12:00
23,Transportation,12/14/2019 12:20
24,Transportation,12/14/2019 12:40
25,Misc,12/14/2019 13:00
26,Misc,12/14/2019 13:20
27,Misc,12/14/2019 13:40
28,Misc,12/14/2019 14:00
29,Misc,12/14/2019 14:20
30,Misc,12/14/2019 14:40
31,Misc,12/14/2019 15:00
32,Misc,12/14/2019 15:20
33,Misc,12/14/2019 15:40
34,Misc,12/14/2019 16:00
35,Misc,12/14/2019 16:20
36,Misc,12/14/2019 16:40
37,Transportation,12/14/2019 17:00
38,Transportation,12/14/2019 17:20
39,Transportation,12/14/2019 17:40
40,Transportation,12/14/2019 18:00
41,Food,12/14/2019 18:20
42,Misc,12/14/2019 18:40
43,Misc,12/14/2019 19:00
44,Misc,12/14/2019 19:20
45,Misc,12/14/2019 19:40
46,Misc,12/14/2019 20:00
47,Misc,12/14/2019 20:20
48,Misc,12/14/2019 20:40
49,Misc,12/14/2019 21:00
50,Misc,12/14/2019 21:20
51,Misc,12/14/2019 21:40
52,Transportation,12/14/2019 22:00
53,Food,12/14/2019 22:20
54,Transportation,12/14/2019 22:40
55,Misc,12/14/2019 23:00
56,Misc,12/14/2019 23:20
57,Misc,12/14/2019 23:40
58,Misc,12/15/2019 0:00
59,Misc,12/15/2019 0:20
60,Misc,12/15/2019 0:40
61,Misc,12/15/2019 1:00
62,Misc,12/15/2019 1:20
63,Misc,12/15/2019 1:40
64,Misc,12/15/2019 2:00
65,Misc,12/15/2019 2:20
66,Misc,12/15/2019 2:40
67,Misc,12/15/2019 3:00
68,Misc,12/15/2019 3:20
69,Misc,12/15/2019 3:40
70,Misc,12/15/2019 4:00
71,Misc,12/15/2019 4:20
72,Misc,12/15/2019 4:40
73,Misc,12/15/2019 5:00
74,Misc,12/15/2019 5:20
75,Misc,12/15/2019 5:40
76,Misc,12/15/2019 6:00
77,Misc,12/15/2019 6:20
78,Transportation,12/15/2019 6:40
79,Transportation,12/15/2019 7:00
80,Transportation,12/15/2019 7:20
81,Misc,12/15/2019 7:40
82,Misc,12/15/2019 8:00
83,Food,12/15/2019 8:20
84,Food,12/15/2019 8:40
85,Waste,12/15/2019 9:00
86,Waste,12/15/2019 9:20
87,Waste,12/15/2019 9:40
88,Waste,12/15/2019 10:00
89,Waste,12/15/2019 10:20
90,Misc,12/15/2019 10:40
91,Misc,12/15/2019 11:00
92,Study,12/15/2019 11:20
93,Study,12/15/2019 11:40
94,Study,12/15/2019 12:00
95,Study,12/15/2019 12:20
96,Misc,12/15/2019 12:40
97,Misc,12/15/2019 13:00
98,Misc,12/15/2019 13:20
99,Misc,12/15/2019 13:40
100,Misc,12/15/2019 14:00
101,Food,12/15/2019 14:20
102,Waste,12/15/2019 14:40
103,Waste,12/15/2019 15:00
104,Waste,12/15/2019 15:20
105,Transportation,12/15/2019 15:40
106,Waste,12/15/2019 16:00
107,Waste,12/15/2019 16:20
108,Study,12/15/2019 16:40
109,Study,12/15/2019 17:00
110,Study,12/15/2019 17:20
111,Study,12/15/2019 17:40
112,Transportation,12/15/2019 18:00
113,Misc,12/15/2019 18:20
114,Misc,12/15/2019 18:40
115,Misc,12/15/2019 19:00
116,Waste,12/15/2019 19:20
117,Waste,12/15/2019 19:40
118,Misc,12/15/2019 20:00
119,Study,12/15/2019 20:20
120,Study,12/15/2019 20:40
121,Study,12/15/2019 21:00
122,Study,12/15/2019 21:20
123,Waste,12/15/2019 21:40
124,Misc,12/15/2019 22:00
125,Japanese,12/15/2019 22:20
126,Japanese,12/15/2019 22:40
127,Sleep,12/15/2019 23:00
128,Sleep,12/15/2019 23:20
129,Sleep,12/15/2019 23:40
130,Sleep,12/16/2019 0:00
131,Sleep,12/16/2019 0:20
132,Sleep,12/16/2019 0:40
133,Sleep,12/16/2019 1:00
134,Sleep,12/16/2019 1:20
135,Sleep,12/16/2019 1:40
136,Sleep,12/16/2019 2:00
137,Sleep,12/16/2019 2:20
138,Sleep,12/16/2019 2:40
139,Sleep,12/16/2019 3:00
140,Sleep,12/16/2019 3:20
141,Sleep,12/16/2019 3:40
142,Sleep,12/16/2019 4:00
143,Sleep,12/16/2019 4:20
144,Sleep,12/16/2019 4:40
145,Sleep,12/16/2019 5:00
146,Sleep,12/16/2019 5:20
147,Sleep,12/16/2019 5:40
148,Sleep,12/16/2019 6:00
149,Sleep,12/16/2019 6:20
150,Sleep,12/16/2019 6:40
151,Sleep,12/16/2019 7:00
152,Sleep,12/16/2019 7:20
153,Sleep,12/16/2019 7:40
154,Misc,12/16/2019 8:00
155,Study,12/16/2019 8:20
156,Study,12/16/2019 8:40
157,Study,12/16/2019 9:00
158,Misc,12/16/2019 9:20
159,Misc,12/16/2019 9:40
