Speaker,Time,Sex,Date,Club,TT,ON_OFF
Alex,40,1,11/11/2000,TMC,,1
Misha,30,1,11/11/2000,TMC,,1
Dmytro,120,1,11/11/2000,TMC,,1
Kusal,60,1,11/11/2000,TMC,,1
Mahmod,20,1,11/11/2000,TMC,,1
Swati,100,0,11/11/2000,TMC,,1
Ezia,84,0,11/11/2000,TMC,,1
Dmytro,40,1,11/11/2000,TMC,,1
Unknown,140,,2/12/2012,Omotesando Bilingual TMC,,1
Unknown,55,,2/12/2012,Omotesando Bilingual TMC,,1
Unknown,148,,2/12/2012,Omotesando Bilingual TMC,,1
Unknown,87,,2/12/2012,Omotesando Bilingual TMC,,1
本間,99,,10/20/2012,Omotesando Bilingual TMC,,1
Unknown,94,,10/20/2012,Omotesando Bilingual TMC,,1
Unknown,96,,10/20/2012,Omotesando Bilingual TMC,,1
Unknown,87,,10/20/2012,Omotesando Bilingual TMC,,1
Kurashima,89,,12/2/2012,Omotesando Bilingual TMC,,1
Homma,96,,12/2/2012,Omotesando Bilingual TMC,,1
Ahino,73,,12/2/2012,Omotesando Bilingual TMC,,1
Michoto,125,,4/12/2013,Shibuya TMC,,1
Allen,97,1,4/12/2013,Shibuya TMC,,1
Leo,76,1,4/12/2013,Shibuya TMC,,1
Koji,59,,4/12/2013,Shibuya TMC,,1
Inna,100,0,10/9/2013,Tokyo ESS TMC,,1
Tubuki,97,,10/9/2013,Tokyo ESS TMC,,1
Azu,94,,10/9/2013,Tokyo ESS TMC,,1
Hanzawu,110,,10/30/2013,Utsunomiya TMC,,1
Sumwet,122,,10/30/2013,Utsunomiya TMC,,1
Awaman,97,,10/30/2013,Utsunomiya TMC,,1
Miyoke,75,,10/30/2013,Utsunomiya TMC,,1
Tracy,80,0,10/30/2013,Utsunomiya TMC,,1
Acabe,118,,8/2/2016,Tokyo ESS TMC,,1
Inna,130,0,8/2/2016,Tokyo ESS TMC,,1
Fujita,115,0,8/2/2016,Tokyo ESS TMC,,1
Washi,120,,8/2/2016,Tokyo ESS TMC,,1
Haneda,123,,8/2/2016,Tokyo ESS TMC,,1
Taka,71,,9/22/2016,Shibuya TMC,,1
Miyaki,70,,9/22/2016,Shibuya TMC,,1
Yuko,81,,9/22/2016,Shibuya TMC,,1
Waon,157,,9/22/2016,Shibuya TMC,,1
Brian,90,1,9/22/2016,Shibuya TMC,,1
Naomi,100,0,7/7/2017,Shibuya TMC,,1
Tomomi,65,,7/7/2017,Shibuya TMC,,1
Yuji,90,1,7/7/2017,Shibuya TMC,,1
Jasmin,108,0,7/7/2017,Shibuya TMC,,1
Teppei,130,,7/7/2017,Shibuya TMC,,1
Hirano,140,,1/4/2018,Utsunomiya TMC,,1
Sano,137,,1/4/2018,Utsunomiya TMC,,1
Nomosu,104,,1/4/2018,Utsunomiya TMC,,1
Uno,70,,1/4/2018,Utsunomiya TMC,,1
Kimochi,75,1,1/24/2018,Mieki TMC,,1
Masui,63,,1/24/2018,Mieki TMC,,1
Ito,50,,1/24/2018,Mieki TMC,,1
Kyoko,87,,1/24/2018,Mieki TMC,,1
Nakagawa,104,,1/24/2018,Mieki TMC,,1
Amis,107,1,10/10/2018,Verbal Victory TMC,0,1
Pietr,117,1,10/10/2018,Verbal Victory TMC,0,1
Waldek,113,1,10/10/2018,Verbal Victory TMC,0,1
Justyr,120,1,10/10/2018,Verbal Victory TMC,0,1
Marta,83,0,10/10/2018,Verbal Victory TMC,0,1
Hanno,132,0,10/10/2018,Verbal Victory TMC,0,1
Kisho,135,0,10/10/2018,Verbal Victory TMC,1,1
Kaori ,88,0,11/17/2018,Omotesando Bilingual TMC,,1
Sumire Sato,136,0,11/17/2018,Omotesando Bilingual TMC,,1
Makuto,77,0,11/17/2018,Omotesando Bilingual TMC,,1
Sayatan,103,1,11/17/2018,Omotesando Bilingual TMC,,1
Sanjuook,97,0,11/17/2018,Omotesando Bilingual TMC,,1
Ichiro Naito,114,,11/22/2018,Tokyo Midtown TMC,1,1
Rajesh,84,1,11/22/2018,Tokyo Midtown TMC,0,1
Yumi,105,,11/22/2018,Tokyo Midtown TMC,0,1
Ohayama,145,,11/22/2018,Tokyo Midtown TMC,0,1
Morishita,132,,11/22/2018,Tokyo Midtown TMC,0,1
Alex,160,1,10/16/2019,Chamber,,1
Olha,154,0,10/16/2019,Chamber,,1
Artem,74,1,10/16/2019,Chamber,,1
Anna,90,0,10/16/2019,Chamber,,1
Ivan,132,1,10/16/2019,Chamber,,1
Vasyl,104,1,10/16/2019,Chamber,,1
Danylo,128,1,10/16/2019,Chamber,,1
Yuriy,108,1,10/16/2019,Chamber,,1
Kiki,100,0,10/23/2019,Chamber,0,1
Ivan,75,1,10/23/2019,Chamber,1,1
Martin,97,1,10/23/2019,Chamber,0,1
Maryna,90,0,10/23/2019,Chamber,0,1
Michael,100,1,10/23/2019,Chamber,0,1
Danylo,93,1,10/23/2019,Chamber,0,1
Anna,117,0,10/23/2019,Chamber,0,1
Martin,116,1,11/13/2019,Chamber,0,1
Michael,115,1,11/13/2019,Chamber,0,1
Andrew,94,1,11/13/2019,Chamber,0,1
Kiki,92,0,11/13/2019,Chamber,1,1
Vasyl,106,1,11/13/2019,Chamber,0,1
Ivan,90,1,11/13/2019,Chamber,0,1
Valerii,127,1,11/13/2019,Chamber,0,1
